聴取項目名,canonical名(auto),TTS文言,choices,retry回数,retry後遷移先,reconfirm,amivoice_words,block_type(auto),入力方式(auto),context変数(auto),display_type(auto),状態
冒頭アナウンス,冒頭,"お電話ありがとうございます。 カレス記念病院の診療専用AI電話です。
「プ」と音が鳴ったらお話しください。",,0,,なし,,opening,none,,TEXT,🟢
3診療日確認,3診療日確認,"こちらのお電話は、〇月〇日以降の受診を希望されるお問い合わせでしょうか？
「はい、そうです」または「いいえ、違います」でお話しください。",,2,代表案内,なし,,hearing,AmiVoice,acceptancePeriodConfirm,CLASSIFICATION,🟢
代表案内,END_代表案内,"大変申し訳ございません。（直近の診療に関するご用件/お薬が足りない場合）はAI電話では承っておりません。
恐れ入りますが、代表電話にお電話をお願いいたします。
お電話ありがとうございました。それでは失礼いたします。",,0,,なし,,termination,none,,TEXT,🟢
用件,用件確認,"ご用件を次の４つのうちのいずれかでお話しください。
「1番、予約」「2番、変更」「3番、キャンセル」「4番、その他お問い合わせ」
ダイヤルプッシュでも入力いただけます。",予約|変更|キャンセル|その他お問い合わせ,2,代表案内,あり,,intent,DTMF+AmiVoice,classification,CLASSIFICATION,🟢
質問,質問,そのほかに何かお問い合わせはありますか。ない場合は「ありません。」とお話しください。,,2,次へ,なし,,free_text,AmiVoice,otherInquiryCheck,TEXT,🟢
患者名,氏名,患者さんのお名前を「名前は山田太郎です。」のようにフルネームでお話しください。,,2,次へ,なし,,patient_name,AmiVoice,patientName,TEXT,🟢
生年月日,生年月日,生年月日をお話しください。西暦の場合ダイヤルプッシュでも入力いただけます。,,2,次へ,なし,,dob,AmiVoice,patientDateOfBirth,DATE_OF_BIRTH,🟢
連絡先番号（携帯電話）,連絡先番号（携帯電話）,"ご連絡先は今おかけいただいている「××× ‐ ××× ‐ ×××」でよろしいですか？
「はい、そうです」、または、「いいえ、ちがいます」、でお話しください。",,2,次へ,なし,,phone,DTMF+AmiVoice,additionalPhoneNumber,PHONE_NUMBER,🟢
連絡先番号（固定電話）,連絡先番号（固定電話）,"ご連絡先のお電話番号をお伺いします。携帯番号または0から始まる市外局番でお話しください。
ダイヤルプッシュでも入力いただけます。
入力が終わりましたら、最後に「こめじるし」を押してください。",,2,次へ,あり,,phone,DTMF+AmiVoice,additionalPhoneNumber,PHONE_NUMBER,🟢
終話①（予約・変更・問い合わせ）,終話①（予約・変更・問い合わせ）,"（予約/変更/キャンセル/問い合わせ）の申し込みを受付いたしました。
3診療日以内に担当者から折り返し電話、もしくはショートメールにてご連絡いたします。
お電話ありがとうございました。それでは失礼いたします。",,0,,なし,,termination,DTMF+AmiVoice,,TEXT,🟢
終話②（キャンセル・問い合わせ）,終話②（キャンセル・問い合わせ）,"（キャンセル/問い合わせ）の申し込みを受付いたしました。
確認事項がある場合のみ3診療日以内に担当者から折り返し電話、もしくはショートメールにてご連絡いたします。
お電話ありがとうございました。それでは失礼いたします。",,0,,なし,,termination,DTMF+AmiVoice,,TEXT,🟢
リトライ時ガイダンス,リトライ時ガイダンス,"恐れ入りますがご回答が確認できませんでした。今一度おっしゃっていただけますでしょうか。
（質問を繰り返す）",,0,,なし,,announcement,none,,TEXT,🟢
通話切断ガイダンス（代表案内で終話）,通話切断ガイダンス（代表案内で終話）,"大変申し訳ございません。ご回答をうまく聞き取ることができませんでした。
恐れ入りますが、代表電話にお電話をお願いいたします。
お電話ありがとうございました。それでは失礼いたします。",,0,,なし,,termination,none,,TEXT,🟢
受診歴（予約）,受診歴確認,ご希望される診療科での受診ははじめてですか？わからない場合は、「わからない。」とお話しください。,はい|いいえ|わからない,2,代表案内,なし,,hearing,AmiVoice,firstVisit,CLASSIFICATION,🟢
選定療養費アナウンス（予約）,選定療養費アナウンス（予約）,"他の医療機関からの紹介状をお持ちでない患者様につきましては、
通常の診療費とは別に、初診時選定療養費として7,700円を全額自己負担いただいております。
予めご了承ください。",,0,,なし,,announcement,none,,TEXT,🟢
診療科（予約）,診療科,受診を希望される診療科をお話しください。わからない場合は、「わからない。」とお話しください。,,2,次へ,なし,,clinical_department,AmiVoice,clinicalDepartment,DEPARTMENT,🟢
予約希望日（予約・変更）,予約希望日,ご予約ご希望日をお話しください。ない場合は、ない場合は「ありません。」とお話しください。,,2,次へ,なし,,hearing,AmiVoice,desiredDate,TEXT,🟢
診療科（変更・キャンセル）,診療科（変更・キャンセル）,予約されている診療科をお話しください。わからない場合は、「わからない。」とお話しください。,,2,次へ,なし,,clinical_department,AmiVoice,clinicalDepartment,DEPARTMENT,🟢
主治医の先生（変更・キャンセル）,主治医の先生（変更・キャンセル）,主治医の先生をお話しください。わからない場合は、「わからない。」とお話しください。,,2,次へ,なし,,free_text,AmiVoice,attendingDoctor,TEXT,🟢
現在の予約日（変更・キャンセル）,予約日聴取,現在のご予約日をお話しください。,,2,次へ,なし,,hearing,DTMF+AmiVoice,reservationDate,TEXT,🟢
理由（変更・キャンセル）,理由,（変更/キャンセル）の理由をお話しください。,,2,次へ,なし,,hearing,AmiVoice,reason,TEXT,🟢
薬処方確認（変更・キャンセル）,薬処方確認（変更・キャンセル）,"病院からお薬を処方されている方は、「はい、飲んでいます」と、
されていない方は「いいえ、飲んでいません」とお話しください。",飲んでいる|飲んでいない,2,次へ,なし,,hearing,AmiVoice,medicationTaking,CLASSIFICATION,🟢
残薬確認（キャンセル）,残薬確認,"残薬について確認をいたします。
残薬がある場合は「はい、あります」、無い場合は「いいえありません」とお話しください。",はい|いいえ,2,次へ,なし,,hearing,AmiVoice,remainingDrugs,CLASSIFICATION,🟢
内容確認（その他お問い合わせ）,問い合わせ内容,お問い合わせ内容をお話しください。,,2,次へ,なし,,hearing,AmiVoice,inquiryContent,TEXT,🟢
