COMP-001 | saveCompletionFlag2db_非通知 | status="0" は第2世代予約値のため使用禁止（許可: 1,2,3,6,7以降）
PROMPT-001 | OpenAI_当日確認 | next分岐ラベル 'はい' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_当日確認 | next分岐ラベル 'いいえ' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_用件 | next分岐ラベル 'その他確認' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_用件 | next分岐ラベル '予約' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_用件 | next分岐ラベル '変更・キャンセル' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_復唱_用件 | next分岐ラベル '肯定' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_復唱_用件 | next分岐ラベル '否定' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_種別 | next分岐ラベル '診察' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_種別 | next分岐ラベル '検査予防接種' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_種別 | next分岐ラベル '送迎' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_復唱_種別 | next分岐ラベル '肯定' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
PROMPT-001 | OpenAI_復唱_種別 | next分岐ラベル '否定' がprompt出力仕様に存在しません — OpenAIの応答がこの条件に一致しないため、フローが正しく分岐しません
REACH-001 | 切断_変更確認 | startモジュールから到達不能です — このモジュールへの遷移パスが存在しません
REACH-001 | 切断_非通知 | startモジュールから到達不能です — このモジュールへの遷移パスが存在しません
REACH-001 | 切断_代表案内 | startモジュールから到達不能です — このモジュールへの遷移パスが存在しません
REACH-001 | 切断_キャンセル | startモジュールから到達不能です — このモジュールへの遷移パスが存在しません
REACH-001 | 切断_失敗 | startモジュールから到達不能です — このモジュールへの遷移パスが存在しません
REACH-001 | 切断_予約 | startモジュールから到達不能です — このモジュールへの遷移パスが存在しません
REACH-001 | 切断_時間外 | startモジュールから到達不能です — このモジュールへの遷移パスが存在しません
P-000 | (properties) | 対応するpropertiesファイルが見つかりません — TTSが発話できない状態です（--no-props で無視可）
