"ケースID","DTMF入力","注入STT（発話/入力）","期待終端","チェックポイント","カバレッジ","備考","判定(PASS/FAIL)","実機ログ・メモ"
"1","1#","入力_用件: 健診の予約","通話完了","用件分類:健診の予約 / 用件_分岐 ^1$→jump-予約 / 予約完走→終話_分岐 ^1$","用件=健診の予約 → 予約サブフロー → 通話完了","","PASS","2026-06-16 実機PASS。発信元090…→個人(既定:やまだ/19800101/WESTERN/はい/携帯)→用件=健診の予約→用件_分岐1→予約(日帰り/オプション無/10月1日)→終話_分岐1→通話完了。Azure全モジュール実行確認。"
"2","2#","入力_用件: 予約の変更","通話完了","用件分類:予約の変更 / 用件_分岐 ^2$→Jump-変更 / 終話_分岐 ^2$","用件=予約の変更 → 変更サブフロー → 通話完了","","PASS","2026-06-16実機PASS。用件=予約の変更→分岐2→Jump-変更(現在の予約日10月1日→OpenAI:2024-10-01/変更内容①→VALID)→終話_分岐2→通話完了。※年=2024で解釈(下記注)"
"3","3#","入力_用件: 予約のキャンセル","通話完了","用件分類:予約のキャンセル / 用件_分岐 ^3$→jump-キャンセル / 終話_分岐 ^3$→status-終話④","用件=予約のキャンセル → キャンセルサブフロー → 終話④ → 通話完了","","PASS","2026-06-16実機PASS。用件=予約のキャンセル→分岐3→jump-キャンセル(確認_現在の予約日→2024-10-01/理由ノイズ除去OK)→終話_分岐3→status-終話④→通話完了。※年=2024"
"4","4#","入力_用件: その他お問い合わせ","通話完了","用件分類:その他お問い合わせ / 用件_分岐 ^4$→jump-FAQ / 終話_分岐 ^4$→問い合わせ_分岐","用件=その他お問い合わせ → FAQサブフロー → 問い合わせ_分岐 → 通話完了","","PASS","2026-06-16実機PASS。用件=その他→分岐4→jump-FAQ(最後の問い合わせ=特にありません→対応不要→Scripts-問い合わせ→save)→終話_分岐4→問い合わせ_分岐0→通話完了"
"5","5#","入力_用件: NO_RESULT→健診の予約","通話完了","OpenAi_入力用件 NO_RESULT→save-不明1 / リトライ_入力用件 true→用件 / 2回目=健診の予約","用件 NO_RESULT→1回リトライで復帰（リトライ_入力用件 true / save-不明1）","","PASS","2026-06-16実機PASS。入力_用件NO_RESULT→リトライtrue→2回目=健診の予約→分岐1→予約→通話完了(リトライ復帰)"
"6","6#","入力_用件: NO_RESULT","時間外切断","OpenAi_入力用件 NO_RESULT 反復 / リトライ_入力用件 false→save-不明 / 時間外切断(Reject)","用件 NO_RESULT 連続→リトライ枯渇（リトライ_入力用件 false → save-不明 → 時間外切断）","","PASS","2026-06-16実機PASS。入力_用件NO_RESULT×3→リトライfalse→save-不明(不明/聴取失敗)→時間外切断(リトライ枯渇)"
"7","7#","入力_生年月日: 19851231 / 入力_復唱生年月日西暦: はい","通話完了","OpenAI_生年月日→日付正規化 / OpenAI_生年月日判定 WESTERN→復唱生年月日_西暦 / OpenAI_入力_復唱生年月日和暦 はい→着信番号分類","生年月日=西暦8桁 → 判定WESTERN → 西暦復唱(はい) → 着信番号分類","","PASS","2026-06-16実機PASS。生年月日=西暦19851231→OpenAI:1985-12-31/判定WESTERN→西暦復唱はい→着信分類→(用件既定=健診)→予約→通話完了"
"8","8#","入力_生年月日: 昭和60年5月3日 / 入力_復唱生年月日: はい","通話完了","OpenAI_生年月日判定 JAPANESE→復唱生年月日 / OpenAI_復唱生年月日 はい→着信番号分類","生年月日=和暦 → 判定JAPANESE → 和暦復唱(はい) → 着信番号分類","","PASS","2026-06-16実機PASS。生年月日=和暦「昭和60年5月3日」→OpenAI:1985-05-03/判定JAPANESE→和暦復唱はい(OpenAI_復唱生年月日:はい)→通常→通話完了。和暦変換正常"
"9","9#","入力_復唱生年月日西暦: いいえ→はい","通話完了","復唱(西暦) いいえ→生年月日 再聴取 / 再聴取後 復唱=はい→着信番号分類","生年月日 復唱=いいえ→再聴取→2回目はい（OpenAI_入力_復唱生年月日和暦 いいえ）","","PASS","2026-06-16実機PASS。西暦復唱=いいえ(OpenAI_入力_復唱生年月日和暦:いいえ)→生年月日再聴取→2回目復唱はい→着信分類→通話完了。attempt-aware再確認ループ動作"
"10","10#","入力_生年月日: NO_RESULT→19800101","通話完了","OpenAI_生年月日 NO_RESULT→リトライ_生年月日 / 2回目=19800101→判定へ","生年月日 NO_RESULT→リトライ→2回目で復帰（OpenAI_生年月日 NO_RESULT）","","PASS","2026-06-16実機PASS。入力_生年月日NO_RESULT→リトライ_生年月日true→2回目19800101→WESTERN→通常→通話完了"
