モジュール名,発話テキスト,由来,原資料照合✅
tts_冒頭アナウンス,"お電話ありがとうございます。 カレス記念病院の診療専用AI電話です。
「プ」と音が鳴ったらお話しください。",AUTO,
tts_3診療日確認,"こちらのお電話は、〇月〇日以降の受診を希望されるお問い合わせでしょうか？
「はい、そうです」または「いいえ、違います」でお話しください。",AUTO,
tts_3診療日確認_retry,"恐れ入りますが再度、こちらのお電話は、〇月〇日以降の受診を希望されるお問い合わせでしょうか？
「はい、そうです」または「いいえ、違います」でお話しください。",AUTO,
tts_代表案内,"大変申し訳ございません。（直近の診療に関するご用件/お薬が足りない場合）はAI電話では承っておりません。
恐れ入りますが、代表電話にお電話をお願いいたします。
お電話ありがとうございました。それでは失礼いたします。",AUTO,
tts_用件,"ご用件を次の４つのうちのいずれかでお話しください。
「1番、予約」「2番、変更」「3番、キャンセル」「4番、その他お問い合わせ」
ダイヤルプッシュでも入力いただけます。",AUTO,
tts_用件_retry,"恐れ入りますが再度、ご用件を次の４つのうちのいずれかでお話しください。
「1番、予約」「2番、変更」「3番、キャンセル」「4番、その他お問い合わせ」
ダイヤルプッシュでも入力いただけます。",AUTO,
tts_用件_reconfirm,〇〇ですね。,AUTO(要確認),
tts_質問,そのほかに何かお問い合わせはありますか。ない場合は「ありません。」とお話しください。,AUTO,
tts_質問_retry,恐れ入りますが再度、そのほかに何かお問い合わせはありますか。ない場合は「ありません。」とお話しください。,AUTO,
tts_患者名,患者さんのお名前を「名前は山田太郎です。」のようにフルネームでお話しください。,AUTO,
tts_患者名_retry,恐れ入りますが再度、患者さんのお名前を「名前は山田太郎です。」のようにフルネームでお話しください。,AUTO,
tts_生年月日,生年月日をお話しください。西暦の場合ダイヤルプッシュでも入力いただけます。,AUTO,
tts_生年月日_retry,恐れ入りますが再度、生年月日をお話しください。西暦の場合ダイヤルプッシュでも入力いただけます。,AUTO,
tts_連絡先番号（携帯電話）,"ご連絡先は今おかけいただいている「××× ‐ ××× ‐ ×××」でよろしいですか？
「はい、そうです」、または、「いいえ、ちがいます」、でお話しください。",AUTO,
